Duplicate #,Category 1,Category 2,URL
55,"Beauty & Cosmetics > Lip Scrubs, Masks & Serums","Beauty & Cosmetics > Lip Scrubs, Masks & Serums","https://blinkit.com/cn/lip-scrubs-masks-serums/cid/13/369"
56,"Beauty & Cosmetics > Lip Balm","Beauty & Cosmetics > Lip Balm","https://blinkit.com/cn/lip-balm/cid/13/276"
57,"Beauty & Cosmetics > Eye Creams & Masks","Beauty & Cosmetics > Eye Creams & Masks","https://blinkit.com/cn/eye-creams-masks/cid/13/237"
58,"Beauty & Cosmetics > Lip Tint","Beauty & Cosmetics > Lip Tint","https://blinkit.com/cn/lip-tint/cid/13/260"
59,"Beauty & Cosmetics > Lip Primer","Beauty & Cosmetics > Lip Primer","https://blinkit.com/cn/lip-primer/cid/13/141"
60,"Beauty & Cosmetics > Lip Liner","Beauty & Cosmetics > Lip Liner","https://blinkit.com/cn/lip-liner/cid/13/121"
61,"Beauty & Cosmetics > Lip Gloss","Beauty & Cosmetics > Lip Gloss","https://blinkit.com/cn/lip-gloss/cid/13/124"
62,"Personal Care > Shampoo & Conditioner","Personal Care > Shampoo & Conditioner","https://blinkit.com/cn/shampoo-conditioner/cid/163/166"
63,"Personal Care > Body Moisturizers & More","Personal Care > Body Moisturizers & More","https://blinkit.com/cn/body-moisturizers-more/cid/163/690"
64,"Personal Care > Hair Colour & More","Personal Care > Hair Colour & More","https://blinkit.com/cn/hair-colour-more/cid/163/691"
65,"Personal Care > Soaps","Personal Care > Soaps","https://blinkit.com/cn/soaps/cid/163/696"
66,"Personal Care > Hand & Foot Care","Personal Care > Hand & Foot Care","https://blinkit.com/cn/hand-foot-care/cid/163/698"
67,"Personal Care > Bath & Body Kits","Personal Care > Bath & Body Kits","https://blinkit.com/cn/bath-body-kits/cid/163/710"
68,"Personal Care > Shower Gels & Scrubs","Personal Care > Shower Gels & Scrubs","https://blinkit.com/cn/shower-gels-scrubs/cid/163/981"
69,"Instant & Frozen Food > Frozen Veg Snacks","Instant & Frozen Food > Frozen Veg Snacks","https://www.flipkart.com/hyperlocal/hloc/2004/pr?sid=hloc%2F0020%2F2004&marketplace=HYPERLOCAL&pageUID=1766502737179"
70,"Instant & Frozen Food > Frozen Veg Snacks","Instant & Frozen Food > Frozen Veg Snacks","https://www.flipkart.com/hyperlocal/hloc/2004/pr?sid=hloc%2F0020%2F2004&marketplace=HYPERLOCAL&pageUID=1766502737179"
71,"Chocolates > Chocolate Packets","Chocolates > Chocolate Packets","https://www.flipkart.com/hyperlocal/Fruits/pr?sid=hloc%2F0065&marketplace=HYPERLOCAL&param=65553444&BU=Minutes&pageUID=1766504048183"
72,"Chocolates > Chocolates","Chocolates > Chocolates","https://www.flipkart.com/hyperlocal/hloc/6501/pr?sid=hloc%2F0065%2F6501&marketplace=HYPERLOCAL&pageUID=1766504048183"
73,"Chocolates > Wafers & Waffle","Chocolates > Wafers & Waffle","https://www.flipkart.com/hyperlocal/hloc/6504/pr?sid=hloc%2F0065%2F6504&marketplace=HYPERLOCAL&pageUID=1766504048183"
